zip,exante_share_baseline,exante_share_alt2,exante_share_alt1
7850,.036396123,.027075358,.026124196
7852,.059076134,.029934619,.020408163
7853,.019821471,.012776208,.011662779
7856,.040331054,.031466149,.023063684
7860,.029485025,.023303974,.019370032
7866,.029156089,.023814609,.02054837
7869,.023119818,.015295118,.011886394
7871,.02550781,.018349659,.015552428
7874,.033802193,.029018519,.026196245
7876,.022961803,.018016335,.01665137
7882,.031655084,.024515064,.019709855
7885,.032450169,.027738564,.022962112
7901,.021806326,.01657879,.015151516
7920,.035119995,.022519875,.018295726
7921,.061948191,.046796009,.041709755
7922,.023225222,.017552376,.015224832
7924,.022218497,.018174177,.016429573
7927,.024474399,.020231521,.018046293
7928,.024272963,.018571936,.014444179
7930,.02222969,.012870835,.011996573
7931,.017458249,.012705747,.010136624
7932,.023377582,.01843241,.015380352
7936,.02504874,.019191217,.016527956
7940,.02428868,.016699903,.015401992
7945,.014149554,.012466041,.012195121
7950,.032399401,.027771074,.022549933
7960,.025366245,.020226991,.016524004
7974,.027017193,.017402492,.014384067
7981,.034345195,.02163846,.019022167
8002,.029598255,.025526617,.020496439
8003,.025478218,.019536981,.017186269
8004,.038470939,.031823333,.02865904
8005,.036348544,.027797991,.025031606
8007,.031710707,.027876763,.026224244
8008,.028123172,.019413702,.016455915
8009,.034440063,.02778204,.026913553
8010,.033505395,.026908131,.023841415
8012,.02914053,.02442494,.022903068
8015,.038037058,.033564053,.028800115
8016,.0356455,.026516397,.023914354
8021,.031611796,.027726123,.023463024
8022,.04126586,.02707627,.02079566
8027,.032153282,.026410704,.024150519
8028,.028953001,.027686574,.025695341
8029,.043099571,.031561188,.027972028
8030,.029528338,.027770383,.029352587
8031,.027438426,.026817124,.028136419
8033,.021404777,.015880704,.011764706
8034,.031344052,.024316629,.020892108
8035,.02806022,.0224187,.018672584
8036,.031643666,.023739418,.018089054
8037,.028906859,.024781786,.020995947
8043,.025124414,.021865217,.01950823
8046,.039783951,.035407122,.02952563
8048,.035409767,.024741432,.021460798
8049,.040156875,.031408384,.029123571
8050,.038488198,.026596928,.022267694
8051,.036594905,.033902746,.035082947
8052,.026436908,.023050819,.021170896
8053,.034960423,.026853457,.023382746
